RowID;Area;Shape_X;Shape_Y;Circ.;AR;Round;Solidity;RowLabel
1;1156;423.000;39.000;0.813;1.000;1.000;1.000;4
2;908;935.751;43.249;0.919;1.003;0.997;0.960;0
3;905;815.712;46.124;0.926;1.006;0.994;0.962;0
4;661;348.470;51.662;0.605;1.023;0.977;0.941;3
5;1156;183.000;56.000;0.813;1.000;1.000;1.000;4
6;908;731.430;56.119;0.929;1.009;0.991;0.963;0
7;1155;635.986;60.014;0.820;1.002;0.998;1.000;4
8;906;594.287;71.922;0.927;1.005;0.995;0.963;0
9;659;89.671;80.212;0.575;1.024;0.977;0.922;3
10;660;265.117;82.162;0.563;1.026;0.975;0.922;3
11;1156;527.000;78.000;0.813;1.000;1.000;1.000;4
12;662;463.970;83.711;0.592;1.029;0.971;0.939;3
13;658;687.948;92.188;0.574;1.026;0.975;0.925;3
14;899;397.658;98.399;0.910;1.008;0.992;0.958;0
15;1188;876.972;102.500;0.825;1.029;0.971;0.999;4
16;656;941.107;120.779;0.586;1.023;0.977;0.938;3
17;659;170.841;122.242;0.575;1.022;0.978;0.922;3
18;1156;261.000;119.000;0.813;1.000;1.000;1.000;4
19;660;322.524;123.703;0.590;1.027;0.974;0.940;3
20;1155;806.986;119.986;0.820;1.002;0.998;1.000;4
21;1156;467.000;122.000;0.813;1.000;1.000;1.000;4
22;1156;43.000;123.000;0.813;1.000;1.000;1.000;4
23;905;747.640;122.807;0.926;1.008;0.992;0.962;0
24;1155;605.014;125.014;0.820;1.002;0.998;1.000;4
25;657;678.056;142.809;0.560;1.020;0.980;0.916;3
26;907;531.920;141.357;0.928;1.004;0.996;0.963;0
27;907;433.347;154.136;0.928;1.009;0.991;0.963;0
28;655;226.804;160.760;0.585;1.023;0.977;0.936;3
29;658;98.257;163.112;0.561;1.023;0.978;0.918;3
30;1156;166.000;165.000;0.813;1.000;1.000;1.000;4
31;908;881.903;165.635;0.929;1.005;0.995;0.963;0
32;1155;372.014;168.014;0.820;1.002;0.998;1.000;4
33;903;954.197;170.555;0.924;1.004;0.996;0.960;0
34;656;489.526;177.905;0.573;1.008;0.992;0.917;3
35;902;783.277;178.500;0.909;1.005;0.995;0.954;0
36;909;624.783;184.212;0.921;1.003;0.997;0.961;0
37;1156;294.000;188.000;0.813;1.000;1.000;1.000;4
38;1155;552.014;191.014;0.820;1.002;0.998;1.000;4
39;1155;722.014;192.986;0.820;1.002;0.998;1.000;4
40;658;845.167;197.222;0.574;1.025;0.976;0.919;3
41;903;164.811;208.511;0.910;1.007;0.993;0.955;0
42;1155;902.014;215.014;0.820;1.002;0.998;1.000;4
43;657;228.336;225.919;0.574;1.006;0.994;0.917;3
44;1156;405.000;224.000;0.813;1.000;1.000;1.000;4
45;1155;673.986;225.014;0.820;1.002;0.998;1.000;4
46;660;89.688;233.761;0.590;1.026;0.975;0.938;3
47;658;468.236;233.761;0.588;1.025;0.975;0.937;3
48;660;612.256;235.206;0.563;1.027;0.974;0.920;3
49;657;779.410;235.179;0.574;1.018;0.982;0.922;3
50;665;825.649;244.683;0.594;1.024;0.976;0.940;3
51;911;551.942;242.846;0.932;1.003;0.997;0.965;0
52;908;299.069;251.410;0.929;1.010;0.990;0.962;0
53;658;967.968;254.301;0.574;1.014;0.986;0.920;3
54;662;352.375;259.526;0.584;1.010;0.990;0.931;3
55;902;200.476;264.222;0.923;1.010;0.990;0.960;0
56;656;726.756;270.828;0.573;1.013;0.987;0.917;3
57;912;911.951;277.102;0.933;1.006;0.994;0.965;0
58;1155;139.986;278.014;0.820;1.002;0.998;1.000;4
59;657;256.619;288.086;0.574;1.020;0.980;0.920;3
60;907;416.203;282.905;0.928;1.002;0.998;0.963;0
61;908;496.151;284.270;0.929;1.003;0.997;0.963;0
62;1156;71.000;285.000;0.813;1.000;1.000;1.000;4
63;906;603.337;287.120;0.927;1.007;0.993;0.963;0
64;657;666.832;296.059;0.574;1.018;0.982;0.918;3
65;906;545.791;296.344;0.927;1.009;0.991;0.963;0
66;661;836.601;302.417;0.577;1.019;0.982;0.928;3
67;1155;319.986;301.014;0.820;1.002;0.998;1.000;4
68;1188;767.028;303.500;0.825;1.029;0.971;0.999;4
69;1156;214.000;327.000;0.813;1.000;1.000;1.000;4
70;1156;458.000;327.000;0.813;1.000;1.000;1.000;4
71;908;947.635;332.903;0.929;1.005;0.995;0.963;0
72;660;153.703;345.274;0.576;1.023;0.978;0.924;3
73;659;379.401;345.237;0.575;1.022;0.978;0.927;3
74;1156;270.000;341.000;0.813;1.000;1.000;1.000;4
75;1155;71.014;342.014;0.820;1.002;0.998;1.000;4
76;661;803.963;350.455;0.577;1.017;0.983;0.929;3
77;661;536.597;352.439;0.577;1.017;0.983;0.928;3
78;1156;887.000;347.000;0.813;1.000;1.000;1.000;4
79;1155;602.014;349.986;0.820;1.002;0.998;1.000;4
80;1156;721.000;354.000;0.813;1.000;1.000;1.000;4
81;910;321.898;361.463;0.931;1.006;0.994;0.964;0
82;660;663.691;375.300;0.576;1.021;0.980;0.924;3
83;1156;486.000;379.000;0.813;1.000;1.000;1.000;4
84;660;246.841;386.755;0.590;1.030;0.971;0.937;3
85;1156;187.000;388.000;0.813;1.000;1.000;1.000;4
86;660;405.792;393.745;0.582;1.030;0.971;0.924;3
87;905;954.288;392.124;0.926;1.006;0.994;0.962;0
88;908;541.896;397.220;0.929;1.001;0.999;0.963;0
89;1156;64.000;399.000;0.813;1.000;1.000;1.000;4
90;653;762.528;403.799;0.584;1.030;0.971;0.936;3
91;908;614.249;400.751;0.919;1.003;0.997;0.960;0
92;663;138.557;405.269;0.584;1.018;0.982;0.930;3
93;904;357.655;417.205;0.925;1.010;0.990;0.962;0
94;661;466.603;422.500;0.577;1.018;0.983;0.932;3
95;1155;835.014;418.014;0.820;1.002;0.998;1.000;4
96;654;890.135;425.394;0.577;1.007;0.993;0.915;3
97;1155;296.986;431.014;0.820;1.002;0.998;1.000;4
98;908;706.151;438.730;0.929;1.003;0.997;0.963;0
99;1155;771.014;447.986;0.820;1.002;0.998;1.000;4
100;657;965.643;454.785;0.587;1.029;0.972;0.936;3
101;659;148.215;456.200;0.562;1.022;0.978;0.919;3
102;1156;218.000;451.000;0.813;1.000;1.000;1.000;4
103;1156;57.000;452.000;0.813;1.000;1.000;1.000;4
104;907;577.661;452.982;0.928;1.007;0.993;0.962;0
105;663;636.664;458.571;0.593;1.019;0.981;0.938;3
106;1156;517.000;467.000;0.813;1.000;1.000;1.000;4
107;898;840.443;481.685;0.919;1.009;0.991;0.959;0
108;1156;330.000;487.000;0.813;1.000;1.000;1.000;4
109;1156;438.000;487.000;0.813;1.000;1.000;1.000;4
110;1156;909.000;488.000;0.813;1.000;1.000;1.000;4
111;907;612.888;493.647;0.928;1.005;0.995;0.962;0
112;908;741.907;494.435;0.929;1.007;0.993;0.963;0
113;1188;681.000;508.529;0.825;1.029;0.971;0.999;4
114;659;803.735;512.908;0.589;1.018;0.982;0.940;3
115;656;82.530;519.056;0.573;1.019;0.981;0.921;3
116;902;223.277;514.500;0.909;1.005;0.995;0.954;0
117;663;149.824;520.604;0.579;1.010;0.990;0.932;3
118;658;373.948;519.729;0.588;1.026;0.975;0.940;3
119;663;276.708;522.590;0.599;1.011;0.989;0.936;3
120;909;964.271;522.203;0.930;1.004;0.996;0.963;0
121;1155;549.986;522.986;0.820;1.002;0.998;1.000;4
122;1156;861.000;531.000;0.813;1.000;1.000;1.000;4
123;1156;30.000;541.000;0.813;1.000;1.000;1.000;4
124;906;443.332;550.148;0.927;1.011;0.989;0.963;0
125;661;496.548;558.269;0.577;1.028;0.973;0.928;3
126;1155;318.986;553.986;0.820;1.002;0.998;1.000;4
127;660;741.085;559.712;0.590;1.020;0.981;0.940;3
128;909;657.107;557.996;0.930;1.002;0.998;0.963;0
129;1155;81.014;563.986;0.820;1.002;0.998;1.000;4
130;1156;244.000;564.000;0.813;1.000;1.000;1.000;4
131;662;926.725;570.079;0.592;1.025;0.976;0.936;3
132;905;571.428;572.199;0.926;1.007;0.993;0.961;0
133;908;184.749;583.083;0.929;1.001;0.999;0.963;0
134;1156;382.000;590.000;0.813;1.000;1.000;1.000;4
135;907;807.123;592.318;0.928;1.005;0.995;0.963;0
136;1156;464.000;600.000;0.813;1.000;1.000;1.000;4
137;661;109.427;608.302;0.577;1.023;0.977;0.928;3
138;660;303.698;608.339;0.576;1.021;0.979;0.924;3
139;1156;970.000;604.000;0.813;1.000;1.000;1.000;4
140;1156;670.000;609.000;0.813;1.000;1.000;1.000;4
141;910;872.878;618.015;0.931;1.003;0.997;0.964;0
142;908;741.430;625.119;0.929;1.009;0.991;0.963;0
143;1155;602.014;625.986;0.820;1.002;0.998;1.000;4
144;1155;37.014;629.014;0.820;1.002;0.998;1.000;4
145;1156;920.000;638.000;0.813;1.000;1.000;1.000;4
146;908;220.430;638.881;0.929;1.009;0.991;0.963;0
147;656;523.729;644.012;0.573;1.017;0.983;0.919;3
148;1156;807.000;641.000;0.813;1.000;1.000;1.000;4
149;662;386.820;656.361;0.578;1.023;0.978;0.928;3
150;1155;159.986;652.986;0.820;1.002;0.998;1.000;4
151;662;296.825;666.402;0.578;1.019;0.981;0.928;3
